course_id,title,session_count,duration_min,format,intensity,api_tags,numerology_tags,chakra_tags,energy_poles,auto_tag_confidence,review_required,source_event_ids
haf-2025-f20c2dfbcd18,12色能量美学与设计应用,1,60,lecture,medium,五感苏醒,5 | 3 | 6,sacral | third_eye,inward | active,1.0,False,HAF 2025
haf-2025-eb21de54bc95,5D集体意识疗愈之情绪感官七脉轮,1,60,lecture,medium,身心共振,6 | 5 | 1,heart | crown,inward | calm,1.0,False,HAF 2025
haf-2025-815975ae27cd,AI时代的生存智慧工作坊 — 午间能量专场,1,60,culture,medium,免费 | 文化复兴,4 | 7 | 9,crown | root,inward | active,1.0,False,HAF 2025
haf-2025-78d46e357260,ATA生命共创音乐会,1,60,sound,medium,亲子 | 免费 | 身心共振,3 | 6 | 2,heart | throat,outward | calm,1.0,False,HAF 2025
haf-2025-72b66a4730e0,Aura-Soma色彩能量工作坊 — 寻找你的生命色彩,1,60,creative,high,五感苏醒,5 | 9 | 3,sacral | crown,inward | active,1.0,False,HAF 2025
haf-2025-8f5617882871,Fortune财富力提升 — 植物能量,1,60,culture,medium,五感苏醒,5 | 8 | 3,sacral | heart,outward | active,1.0,False,HAF 2025
haf-2025-3da58d6542a9,Guided Relaxing Visualisation and Art Journaling as a path into Self Knowledge,1,60,lecture,medium,潜意识解密,7 | 9,third_eye | crown,inward | calm,1.0,False,HAF 2025
haf-2025-25ea63b0dac2,Healing Hands with Mandala,1,60,lecture,medium,双语 | 身心共振,6 | 2,heart | root,inward | calm,0.5,True,HAF 2025
haf-2025-847b6f635e90,《Love&Awakening》電子音樂療癒,1,60,creative,medium,身心共振,6 | 2 | 3,heart | crown,inward | calm,0.75,False,HAF 2025
haf-2025-15bddf58c941,Meditation and Creative Visualization,1,60,creative,medium,双语 | 身心共振,6 | 1 | 2,heart | sacral,inward | calm,0.833,False,HAF 2025
haf-2025-bf84553d17ad,Mindful Being and Art as Heart-Soul Language,1,60,lecture,medium,双语 | 身心共振,6 | 2,heart | root,inward | calm,0.5,True,HAF 2025
haf-2025-59b8eea50b92,Nada心流调息共振冥想,1,60,meditation,medium,身心共振,7 | 2 | 3,third_eye | heart,inward | calm,1.0,False,HAF 2025
haf-2025-2b05e4be2efa,OH卡自我冥想,1,60,meditation,medium,潜意识解密,7 | 1 | 2,third_eye | crown,inward | calm,1.0,False,HAF 2025
haf-2025-e7fa6ab3d9fe,Tarot Reading — Group Reading,1,60,culture,medium,双语 | 潜意识解密,7 | 1 | 8,crown | third_eye,inward | calm,1.0,False,HAF 2025
haf-2025-7627bc04488c,Tarot Reading — Private Reading,2,60,culture,medium,双语 | 潜意识解密,7 | 1 | 8,crown | third_eye,inward | calm,1.0,False,HAF 2025
haf-2025-eabc7112cb42,W’Pro®️校准体系之萨满之旅（Shamanic Journey),1,60,breathwork,medium,呼吸之间,4 | 7 | 1,heart | root,inward | calm,0.917,False,HAF 2025
haf-2025-730c90810b65,一席茶心茶疗,1,60,culture,medium,五感苏醒,5 | 1 | 3,sacral | third_eye,inward | calm,1.0,False,HAF 2025
haf-2025-4ff821294f81,一日圜堂（坐）：凡人修真入门工作坊,3,60,lecture,high,,5,crown | root,inward | active,0.667,False,HAF 2025
haf-2025-e587da7e2ad9,一日圜堂（站）：凡人修真入门工作坊,2,60,lecture,high,,5,crown | root,inward | active,0.667,False,HAF 2025
haf-2025-c8e31baf3663,《一起唱·碟》— 手碟唱诵疗愈工坊,1,60,sound,medium,身心共振,6 | 3 | 2,throat | heart,inward | active,1.0,False,HAF 2025
haf-2025-56abf4a216ac,一针一悟 — 禅美学与禅绣工作坊,1,60,meditation,medium,,1 | 5 | 3,crown | sacral,inward | calm,1.0,False,HAF 2025
haf-2025-b0d881259f7a,《七个暗室小孩》内在力量自我探索工作坊,1,60,lecture,high,潜意识解密,5 | 1 | 7,third_eye | solar_plexus,inward | active,1.0,False,HAF 2025
haf-2025-cbcd337ef235,七脉轮颂钵疗愈,1,60,sound,medium,免费 | 身心共振,6 | 3 | 1,heart | throat,inward | calm,1.0,False,HAF 2025
haf-2025-cb9305e9e695,三维内观术 — 颂钵音疗声波浴,1,60,sound,medium,潜意识解密,7 | 9 | 1,throat | third_eye,inward | calm,1.0,False,HAF 2025
haf-2025-cad851f61f57,不挨饿的持久轻盈感 — 颂钵调频唤醒身体代谢力,1,60,sound,medium,身心共振,4 | 6 | 2,root | throat,inward | calm,1.0,False,HAF 2025
haf-2025-e85a03d9dd8f,与“邹氏滴滴绣针法”共话非遗传承,2,60,culture,medium,文化复兴,4 | 9,crown | root,inward | calm,1.0,False,HAF 2025
haf-2025-695d4bb89a96,东方心之力 — 后疫情时代·东方领导力如何赋能管理者和团队,3,60,culture,medium,免费 | 文化复兴,4 | 8 | 7,crown | solar_plexus,inward | calm,1.0,False,HAF 2025
haf-2025-d3bb02e81039,东方智慧之镜·自我成长探索沙龙,5,60,dialogue,medium,潜意识解密,7 | 1 | 5,crown | third_eye,inward | calm,1.0,False,HAF 2025
haf-2025-bf8cccaf1abf,中华非遗自性花道沙龙,3,60,culture,medium,文化复兴,4 | 6 | 7,crown | root,inward | calm,1.0,False,HAF 2025
